Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C4 C7 C8 C9 C11,CAPC1005X60,C1525
1k,R7,RESC1005X40,C11702
1k,R10,RESPACK_4X0402,C25726
1uF,C6,CAPC1005X60,C52923
4.7k,R4 R5 R11 R12 R13,RESC1005X40,C25900
4.7k,R14 R15,RESPACK_4X0402,C29586
4.7uF,C10 C12,CAPC1005X60,C23733
5.1k,R1 R2,RESC1005X40,C25905
6V/0.75A,F1,1206,C99563
10k,R6 R8,RESC1005X40,C25744
10uF,C2 C3,CAPC1608X85,C19702
12k,R9,RESC1005X40,C25752
74AHC1G125,U5,SOT23-5L,C7468
74HC4050,U4,TSSOP16,C352825
100k,R3,RESC1005X40,C25741
100uF,C5,CAPC3216X135,C15008
5050 SMD LED,D1,LED-TRICOLOR-5050,C784540
AMS1117-3.3,VR1,SOT230P696X180-4N,C6186
ATSAMD11D14A-SSNT,U3,SOIC127P1030X265-20N,C2053599
BSS138PS,Q1 Q3,ARDUINO-TRANSISTORS_SOT363,C2912548
BSS138PW,Q2 Q4,SOT65P210X110-3N,C919583
ESP-32S,U2,ESP-32S,C277944
MEGA4809,U1,TQFP48,C189475
TPUSBLC6-2SC6,Z1,SOT95P280X110-6N,C558442
TS-1088-AR02016,RESET,SW2-2.6-3.9X2.9X1.5+0.4MM,C720477
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948
YELLOW,LED,LED-0603,C72038
